"中文名","英文名","DS5","DSE","DS5自适应扳机","DSE自适应扳机","DS5触觉反馈","DSE触觉反馈","DS5触摸板","DSE触摸板","分组","备注"
"Solo Leveling: Arise","Solo Leveling: Arise","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Someday You'll Return: Director's Cut","Someday You'll Return: Director's Cut","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Somerville","Somerville","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Songs of Silence","Songs of Silence","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"索尼克大冒险 2","Sonic Adventure 2","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"索尼克大冒险 DX（2011）","Sonic Adventure DX (2011)","需手动修复","需手动修复","未列入","未列入","未列入","未列入","未列入","未列入","需要手动修复/改动",""
"Sonic Battle Framework","Sonic Battle Framework","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"索尼克 未知边境","Sonic Frontiers","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Sonic Galactic","Sonic Galactic","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"索尼克 狂欢","Sonic Mania","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Sonic P-06","Sonic P-06","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"索尼克赛车：交叉世界","Sonic Racing: CrossWorlds","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"索尼克乱斗派对","Sonic Rumble Party","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"Sonic Rush 3D","Sonic Rush 3D","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"索尼克 超级巨星","Sonic Superstars","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"索尼克 × 夏特 世代重启","Sonic X Shadow Generations","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"森林之子","Sons of the Forest","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Sons of Valhalla","Sons of Valhalla","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Soulframe","Soulframe","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Soulstice","Soulstice","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"South of the Circle","South of the Circle","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Space for Sale","Space for Sale","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Sparky Rush: Purrils in Pawsville!","Sparky Rush: Purrils in Pawsville!","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Spin Rhythm XD","Spin Rhythm XD","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Spine","Spine","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Split Fiction","Split Fiction","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"SpongeBob SquarePants: The Patrick Star Game","SpongeBob SquarePants: The Patrick Star Game","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"SPYxANYA: Operation Memories","SPYxANYA: Operation Memories","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"潜行者","STALKER","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Camera control."
"Star Fox 64 (Starship)","Star Fox 64 (Starship)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Ocean: The Second Story R","Star Ocean: The Second Story R","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Overdrive","Star Overdrive","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"星球大战 绝地：幸存者","Star Wars Jedi: Survivor","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"星球大战：亡命之徒","Star Wars Outlaws","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"Star Wars: Bounty Hunter","Star Wars: Bounty Hunter","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Wars: Dark Forces Remaster","Star Wars: Dark Forces Remaster","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Wars: Rogue Squadron 3D","Star Wars: Rogue Squadron 3D","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Wars: Shadows of the Empire","Star Wars: Shadows of the Empire","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Wars: Starfighter","Star Wars: Starfighter","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Star Wars: Zero Company","Star Wars: Zero Company","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"星露谷物语","Stardew Valley","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Starsand Island","Starsand Island","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"剑星","Stellar Blade","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"Still Wakes the Deep","Still Wakes the Deep","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"牧场物语 Welcome！美丽人生","Story of Seasons: A Wonderful Life","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"Stranded: Alien Dawn","Stranded: Alien Dawn","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Stranger of Paradise: Final Fantasy Origin","Stranger of Paradise: Final Fantasy Origin","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"迷失","Stray","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"神室町街头","Streets of Kamurocho","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Strife: Veteran Edition","Strife: Veteran Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Styx: Blades of Greed","Styx: Blades of Greed","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"深海迷航","Subnautica","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"深海迷航 2","Subnautica 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"自杀小队：消灭正义联盟","Suicide Squad: Kill the Justice League","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"Suikoden I & II HD Remaster Gate Rune and Dunan Unification Wars","Suikoden I & II HD Remaster Gate Rune and Dunan Unification Wars","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Sulfur","Sulfur","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Super Mario Bros. Remastered","Super Mario Bros. Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Super Mario World Remastered","Super Mario World Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Super Meat Boy 3D","Super Meat Boy 3D","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"超级棒球 3","Super Mega Baseball 3","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"超级棒球 4","Super Mega Baseball 4","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"超级人类","Super People","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Touchpad activated map."
"超级机器人大战 30","Super Robot Wars 30","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Super Robot Wars Y","Super Robot Wars Y","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Superhero Simulator","Superhero Simulator","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Supraworld","Supraworld","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Sushi Ben","Sushi Ben","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Sword Art Online: Fractured Daydream","Sword Art Online: Fractured Daydream","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Sword of the Sea","Sword of the Sea","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"Syberia - Remastered","Syberia - Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Synduality: Echo of Ada","Synduality: Echo of Ada","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"网络奇兵 2：25 周年重制版","System Shock 2: 25th Anniversary Remaster","本地支持","本地支持","未列入","未列入","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","触觉反馈：DS5 本地支持，DSE 本地支持"
"Taiko no Tatsujin: Rhythm Festival","Taiko no Tatsujin: Rhythm Festival","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tails of Iron 2: Whiskers of Winter","Tails of Iron 2: Whiskers of Winter","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tainted Grail: The Fall of Avalon","Tainted Grail: The Fall of Avalon","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tales of Berseria Remastered","Tales of Berseria Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tales of Graces f Remastered","Tales of Graces f Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tales of Xillia Remastered","Tales of Xillia Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"军团要塞 2","Team Fortress 2","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"Teenage Mutant Ninja Turtles: Shredder's Revenge","Teenage Mutant Ninja Turtles: Shredder's Revenge","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"铁拳 7","Tekken 7","未列入","未列入","未列入","未列入","未列入","未列入","需手动修复","未列入","触摸板页面补充（第三方/Steam）","触摸板：DS5 触摸板 需手动修复，第三方工具/自定义配置，Custom config. Requires reWASD application to run. Macros."
"铁拳 8","Tekken 8","本地支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","触觉反馈：DS5 本地支持，DSE 未列入"
"Terra Memoria","Terra Memoria","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Terrifier The ARTcade Game","Terrifier The ARTcade Game","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Test Drive Unlimited Solar Crown","Test Drive Unlimited Solar Crown","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"Thank Goodness You're Here!","Thank Goodness You're Here!","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Adventures of Elliot: The Millennium Tales","The Adventures of Elliot: The Millennium Tales","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Alters","The Alters","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Big Catch: Tacklebox","The Big Catch: Tacklebox","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Binding of Isaac: Rebirth","The Binding of Isaac: Rebirth","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Blood of Dawnwalker","The Blood of Dawnwalker","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Case of the Dark Strangler","The Case of the Dark Strangler","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"弗兰克·斯通的阴影","The Casting of Frank Stone","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"The Chant","The Chant","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"飙酷车神：轰鸣盛典","The Crew Motorfest","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"The Cub","The Cub","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Cube (Mundfish)","The Cube (Mundfish)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Darkside Detective: Backside of the Moon","The Darkside Detective: Backside of the Moon","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"上古卷轴 IV：湮灭 重制版","The Elder Scrolls IV: Oblivion Remastered","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"最终决战","The Finals","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"第一狂战士：卡赞","The First Berserker: Khazan","本地支持","未列入","本地支持","未列入","本地支持","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入；触觉反馈：DS5 本地支持，DSE 未列入"
"第一后裔","The First Descendant","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"The God Slayer","The God Slayer","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The House of the Dead 2: Remake","The House of the Dead 2: Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The House of the Dead: Remake","The House of the Dead: Remake","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Hundred Line -Last Defense Academy-","The Hundred Line -Last Defense Academy-","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Inquisitor (2024)","The Inquisitor (2024)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The King of Fighters XIII Global Match","The King of Fighters XIII Global Match","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Last Caretaker","The Last Caretaker","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"最后的信仰","The Last Faith","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"最后生还者 第一部","The Last of Us Part I","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持；触摸板：DS5 触摸板 本地支持，原生支持，Native support."
"最后生还者 第二部 重制版","The Last of Us Part II Remastered","本地支持","本地支持","本地支持","本地支持","本地支持","本地支持","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持；触觉反馈：DS5 本地支持，DSE 本地支持"
"英雄传说：界之轨迹","The Legend of Heroes: Trails Beyond the Horizon","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"The Legend of Heroes: Trails through Daybreak II","The Legend of Heroes: Trails through Daybreak II","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Legacy HD Remastered","The Legend of Legacy HD Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Zelda: A Link to the Past","The Legend of Zelda: A Link to the Past","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Zelda: Majora's Mask (2 Ship 2 Harkinian)","The Legend of Zelda: Majora's Mask (2 Ship 2 Harkinian)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Zelda: Majora's Mask (Zelda 64: Recompiled)","The Legend of Zelda: Majora's Mask (Zelda 64: Recompiled)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Zelda: Ocarina of Time (Ship of Harkinian)","The Legend of Zelda: Ocarina of Time (Ship of Harkinian)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Legend of Zelda: Twilight Princess (Dusk)","The Legend of Zelda: Twilight Princess (Dusk)","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"库先生的众多碎片","The Many Pieces of Mr. Coo","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"The Midnight Walk","The Midnight Walk","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Occultist","The Occultist","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"天外世界：太空人之选版","The Outer Worlds: Spacer's Choice Edition","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"逃生：试炼","The Outlast Trials","本地支持","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持",""
"The Riftbreaker","The Riftbreaker","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"The Séance of Blake Manor","The Séance of Blake Manor","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Seven Deadly Sins: Origin","The Seven Deadly Sins: Origin","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Shore","The Shore","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"The Sinking City 2","The Sinking City 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"蓝精灵：邪恶叶子大作战","The Smurfs: Mission Vileaf","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"The Thing: Remastered","The Thing: Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"巫师 3：狂猎","The Witcher 3: Wild Hunt","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"Thief Simulator 3","Thief Simulator 3","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"神偷：暗黑计划","Thief: The Dark Project","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Thunder Ray","Thunder Ray","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tides of Annihilation","Tides of Annihilation","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tides of Tomorrow","Tides of Tomorrow","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Time Gal HD Remaster","Time Gal HD Remaster","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Timespinner","Timespinner","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tokyo Xtreme Racer","Tokyo Xtreme Racer","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tom Clancy's Rainbow Six Extraction","Tom Clancy's Rainbow Six Extraction","本地支持","未列入","本地支持","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入","自适应扳机：DS5 本地支持，DSE 未列入"
"汤姆克兰西：彩虹六号 围攻","Tom Clancy's Rainbow Six Siege","本地支持","本地支持","本地支持","本地支持","未列入","未列入","未列入","未列入","DS5 与 DSE 本地支持","自适应扳机：DS5 本地支持，DSE 本地支持"
"古墓丽影（2013）","Tomb Raider (2013)","限制支持","未列入","需手动修复","未列入","需手动修复","未列入","未列入","未列入","限制支持","自适应扳机：DS5 需手动修复，DSE 未列入；触觉反馈：DS5 需手动修复，DSE 未列入"
"古墓丽影 I-III 重制版","Tomb Raider I-III Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tomb Raider IV-VI Remastered","Tomb Raider IV-VI Remastered","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tomba! 2: The Evil Swine Return Special Edition","Tomba! 2: The Evil Swine Return Special Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tomba! Special Edition","Tomba! Special Edition","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"折磨之魂 2","Tormented Souls 2","限制支持","未列入","未列入","未列入","本地支持","未列入","未列入","未列入","限制支持","触觉反馈：DS5 本地支持，DSE 未列入"
"Total Chaos","Total Chaos","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"东方幕华祭 ～ Fantastic Danmaku Festival Part III","Touhou Makuka Sai ～ Fantastic Danmaku Festival Part III","限制支持","限制支持","未列入","未列入","未列入","未列入","未列入","未列入","限制支持",""
"Trails in the Sky 1st Chapter","Trails in the Sky 1st Chapter","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tribe Nine","Tribe Nine","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Tunic","Tunic","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
"Turbo Dismount 2","Turbo Dismount 2","本地支持","未列入","未列入","未列入","未列入","未列入","未列入","未列入","仅 DS5 本地支持 / DSE 非本地或未列入",""
